Airlines,Name,Location,Date Published,Text Content,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Recommended,Ground Service,Wifi & Connectivity
british_airways,R Foster,2024,2024-08-03,"✅ Trip Verified | BA, after subsequent delays and postponed departure times, from the initial 20:35 to 23:00, as passengers had been gathering at the already assigned gate, crew was ready to board and aircraft ready outside, decided to cancel the flight. Reason provided over the intercom: absence of pilots. All passengers were told that no hotels could be booked for them and that everyone was on their own (note this, there’ll be a follow up). Rage mounted amongst us all, but the Brits to whom all can be done without response. Myself and others had all reasons to insist and so we did, till 1 AM. The crew kept saying that no rebooking was possible apart from the automated one (which expected us to cross Europe to get to our destination) and no hotel booking were in their power either. Well: liars. After hours of pushing and raging, one person came with the hotel bookings for roughly those 30 of us who kept on fighting. Liars also for another reason: all but one angel told us there was no way to be rebooked. But one took me apart and suggested me a way, which worked. It meant breaking some of their “rules” but after all they made the mess, so they had to sort it out. With 3 hours of sleep over 24 hours I managed to get back where I had to and I’m 100% committed to now avoid BA as much I shall be able to. Some of the clerks told me it was impossible working for them after all the cuts to save on money, as the company runs in pretty bad financial waters. Hubs such as Heathrow now have almost no presence and passengers have to do all by themselves, from checking in their bags at the bag drops to spending hours on their phones at their expenses when BA messes it up as it frequently does lately. It’s a pity to be seeing such a decay, time to change leadership team and CEO.",Business,,,,3,1,False,,
british_airways,Kevin Butler,2024,2024-08-02,"Not Verified |   It is embarrassing to have the word “British” attached to this airline. The service was substandard in every way with the possible exception of food and a couple of stand out staff. I can accept delays and technical problems, they happen. How they handled it was, in my opinion, was not responsible - they left everyone on the plane for 4 hours and at midnight, disembarked saying they had no hotels available and no staff to unload luggage. The plane inevitable had people with young children and elderly. All left to fend for themselves! Several times they mentioned “don’t worry, we have a duty of care” but there really was none. Singapore to London flight was not wifi enabled and they cram 8 business class seats across the width. Comfort and service did not reflect price and was well below leading airlines - avoid it at all cost!",A380,,,,,1,False,,
british_airways,S Irving,2024,2024-08-02,"✅ Trip Verified | Flight cancelled due to bad weather, BA contacted me by email immediately and provided an alternative booking as well as a link if their suggestion for a different flight wasn't convenient. Clicked on the link and was assisted promptly by a service rep who rebooked me and sent all details within a few minutes. Great customer service from BA....well done.",A320,,,,,3,False,,
british_airways,S Drew,2024,2024-07-30,"✅ Trip Verified |  British Airways oversold my LHR to LAX flight; I booked months in advance paid in full and actually paid over $1000 extra to fly their Airbus A380. Tried to check in online day before flight, got unknown system error couldn’t check in. Arrived at LHR 3.5 hours early; none of BA kiosks worked, all manual check in by understaffed BA staff who were all unhelpful. Insane queue times; lots of other frustrated passengers in line. Denied boarding at the gate because flight oversold, no explanations, no apologies, constantly ignored by BA staff who don’t have the patience to listen to your situation or be helpful. Finally gate manager books alternate flight to Paris CDG, supposedly to connect with an Air France flight. We get to CDG only to be told by Air France their flight was full; no idea why BA manager bumped me to AF flight that’s also full! That’s insult to injury to be bumped twice! Went to BA desk at CDG, no help at all they told us to call BA and couldn’t even provide the phone number; just told us to look online. On top of all that my luggage is lost somewhere between BA and AF in Paris CDG. I’m an American citizen and speak perfect English, but I feel completely humiliated and treated like second class citizen by multiple BA staff through the whole ordeal. Mostly they just ignore you or bounce you from one counter to another without even trying to listen to your problem. Zero accountability. Will never ever fly BA again! Absolute worst travel experience of my life.",Couple Leisure,,,,1,1,False,,
british_airways,Tim Taylor,2024,2024-07-30,"✅ Trip Verified |  I travelled London to Doha on July 16th, I had to physically check in at BA Business T5 because I had an ongoing connection in Doha and the flight was a code share with Qatar. I had paid for my flight through Qatar and paid for the seat online so I could sit where I like to sit and when I got to check in discovered I had been reseated elsewhere in the cabin and was told that was their policy and basically to shut up about it. I then discovered that BA do not recognise Qatar frequent flyer rules despite sharing Avios points. I'm a Gold card holder in Qatar which affords me extra kilos on the baggage but BA tried to tell me I had to pay. After some arguing eventually they accepted it! The Lounge was packed, staff less than helpful when I tried to get some answers on my seat reassignment, I was told I would get my money back - no chance of that so don't even try. The flight boarded by bus, the journey took 15 minutes to get from terminal to aircraft which I am guessing was at another terminal because it took so long to get there. Why not board us through that terminal rather than drag us all over the airport? Finally got onto the plane, BA staff are not friendly, it's no wonder they are ranked 13th, I now realise it's a privilege being allowed to step onto a BA flight and it departed 90+ minutes late. Myself and many other travellers had connections and this meant I was either going to miss the connection or I would manage to make the connection but my luggage wouldn't. Would BA flight crew help me on board to figure out the connection? they eventually came to tell me me in their haughty attitude, ""We are now landing 15 minutes earlier so that give you a full 50 minutes to make your connection"" Landing early does not mean getting to the gate earlier, it usually takes at least 10 minutes from landing to gate, then another 7 for the jetway to be attached and if you are lucky to be sitting near the door straight off, if not 20 minutes to disembark, if you want to be helpful don't say stupid things to people who are frequent travellers! As it turned out I was sitting near the door and had to run off the plane, Qatar were there to assist but I did have to run from the A gates all the way to C gates to make my connection, not a short distance for a 70+ year old and the luggage did not make it. Many others were not as fortunate and didn't make their connections. Why put a page in the flight entertainment for connections if you are not going to provide the information, it's public information you can look it up on line, so the aircraft has access to WiFi and satellite communication so I fail to understand why this information cannot be captured and displayed? I complained to BA got a wishy washy email with a number of excuses in it, no mention of the seat refund. I got a paltry voucher that I'm supposed to use on another BA flight - who are they kidding I am not sure I want to experience that again. However I have recently discovered that of my frequently travelled to destinations is really only serviced by BA if I want to fly at a reasonable hour of the day or go all over Europe just to avoid them which is too expensive. I consider them one of the worst airlines I have ever flown and getting worse by the minute. Fly them only if you absolutely have to and good luck.",Business,,,,5,1,False,,
british_airways,M Raulin,2024,2024-07-28,"✅ Trip Verified |  When dropping off my luggage at the luggage drop off at Toulouse airport, I had my travel pram confiscated from me and I was forced to take my sleeping 2 year old in my arms while traveling alone with him at 5.30am. I was told by the staff outsourced by British Airways to check in passengers that only yoyo prams were accepted on board. I corrected her that it was ""yoyo type"" prams but she contested and told me that only yoyo prams would be allowed and if I insisted to keep my sleeping 2-year-old in his pram I would not be permitted to board the flight to London. This happened to 2 other families and we were forced to go to the oversized baggage area of the airport. To clarify my pram is the Silver Cross Jet stroller pushchair which I specifically purchased as it is conform to the British Airways specifications. I was then required to carry my toddler for 30 mins through security, and then again for another 40 mins while waiting to board the plane (I was ""allowed"" early boarding only to be moved from my seat to stand on the other side of the staff with no more options to sit down). At Heathrow, I was then required to carry my toddler again for approx. 40 mins to go through passport check and luggage claim (as mentioned previously, I was traveling alone with my child with no other support). All this, despite purchasing a very expensive pram to fit to your requirements and coming to the airport prepared with this pram. I'm sure you agree this is unacceptable and it is illegal to force passengers to purchase a specific brand of products in order to be able to keep their child in their travel pram.  In addition to this, once on the plane, I installed my Kids Fly Safe Cares Child Airplane Safety Harness for my son. The cabin crew then proceeded to tell me this was not allowed. I had to go on the website to show them that this was incorrect and I was in fact within my rights. Then, for landing, the crew had the gall to tell me to put the harness on my son and that it was mandatory to which I asked, if it was mandatory why did I bring the harness myself. British Airways is the most discriminatory airline for parents traveling with children and this needs to change. My advice; don't treat a mom traveling alone at 5am with a sleeping toddler like rubbish, and don't confiscate her travel pram that is within regulation forcing her to have the worst travel experience possible.",Family Leisure,,,,1,1,False,,
british_airways,M Owen,2024,2024-07-19,"✅ Trip Verified | If you can’t fly First Class don’t fly British Airways! VERY uncomfortable seats. You can’t even get out of your seat when the person in front has their seat reclined (and who doesn’t need to recline their seat!) You can’t pick up ANYTHING off the floor during the flight because you can’t bend to touch the floor - there isn’t enough space to! If you have long legs don’t think you are going to be comfortable - as soon as the person in front of you puts their chair back your knees WILL be CRUSHED! Terrible food, Terrible plane, Terrible air-hostesses, Terrible flight and unfortunately I have to fly back home with them.",Boeing 777,,,,,1,False,,
british_airways,Bryan Fisk,2024,2024-07-16,Not Verified |   Singapore to Heathrow. Business class on an A380-800 is a Premium Economy Plus experience. From the economy class sized toilets to the badly designed coffin shaped Business class pods - the experience is a substandard business class experience. Business class pod’s storage is a small drawer at the FOOT of the pod. The ‘privacy’ screens are opaque plastic sheets - so you are kept awake by your neighbour as their screen lights up your pod. When the seat is made into its coffin shaped bed - the cold hard plastic seat moulds are an unpleasant surprise for those that turn in their sleep. You have a choice of having your neighbour step over your calf-height footrest - hopefully not brushing your feet with theirs - or having to step over your neighbour's feet/footrest. With the footrest down - heaven-forbid you try to lever yourself into a more comfortable position as the slightest pressure causes the footrest to collapse into its floor level position. If you are in the aisle seat - which is open to the aisle - kiss goodbye to any privacy as not only will you be on view to all passengers - the crew will lean you to both serve your neighbour their food and talk to your neighbour over your privacy screen.,A380-800,,,,,3,False,,
british_airways,David Bolland,2024,2024-07-15,Not Verified |   I reported my damaged/ruined suitcase 5 weeks ago and I'm still awaiting a reply. I'll think twice about booking with BA again as the Customer Service is shocking to say the least. I've followed up with British Airways with at least 3 emails per week requesting an update but with no joy so far.,Solo Leisure,,,,3,4,False,,
british_airways,Daniel Chinellato,2024,2024-07-09,"Not Verified |   On March 1st, I flew from Berlin to São Paulo with BA but encountered several issues. My first flight was delayed by several hours, causing me to miss my connection at London Heathrow. Upon arriving at the airport after midnight, I was given a hotel voucher. However, the hotel designated by BA rudely denied me check-in, claiming it was fully booked. I had to return to Heathrow at 1 AM and found a different hotel, paying for the taxi out of my own pocket. As a result of these complications, I arrived in São Paulo more than 24 hours late. Despite my efforts to assert my rights and seek reimbursement for the taxi, BA's customer service has been extremely poor. Their phone lines are non-functional, emails are only answered automatically, and the appropriate channels for such requests have not been responsive since the first week of March. This experience has left me extremely disappointed, especially considering the high standard of service I once associated with BA.",Business,,,,3,4,False,,
british_airways,Flora Dogneton,2024,2024-07-05,"Not Verified | The WORST customer experience! British Airways (BA) is effectively robbing people! They are not here to help and show no compassion. My partner and I fell ill and had a doctor’s note stating we couldn't fly. BA said they'd hold our flight amount as a voucher valid for a year. Fair enough. Caveat to this (which was not stated to us): you must call them and it is not usable on holiday packages. However, using this voucher was a nightmare. We can't use it for both our tickets because the original was long-haul, and they refuse to refund half the amount. BA's customer service was awful and rude, effectively stealing £400 from us. This policy must stop. We feel held hostage with no solution.",Couple Leisure,,,,1,1,False,,
british_airways,Alex Martyn,2024,2024-07-01,"Not Verified |   Had to cancel my flight months in advance due to a change of schedule. I was flying with American Airlines and British Airways. Selected seats and when I attempted to get a refund on the selected seats, AA refunded me with no issue when BA refused despite both companies having similar policies. Avoid them, fly with anyone else. Customer service is a joke, taking over 2 weeks to respond to my email and giving me no further justification than what I was told on the phone.",Solo Leisure,,,,1,,,,
british_airways,P Jackson,2024,2024-06-30,"✅ Trip Verified | Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service.",Couple Leisure,,,,1,1,False,,
british_airways,R Thornton,2024,2024-06-26,"✅ Trip Verified | This is a route I fly regularly. Used first class security and lounge all good. Lounge surprisingly not so busy. Was great to see we weren't departing from the dreaded A10 bus gate, and the flight was on time. Boarded and ready to go on time and then.... Six passengers were a no show. A 50 minute delay to offload the bags and depart, longer than the actual flight itself. There has to be a better process for fast tracking this. Hence finally arrived in Paris 45 mins late. On the plus side the cabin crew were great and even had a personal welcome from the inflight manager which happens less and less these days.",A320,,,,,4,False,,
british_airways,J Fang,2024,2024-06-23,"✅ Trip Verified |  While BA may have made some positive improvements to its Club World product, its World Traveler product and catering leaves much to be desired. The first meal service was very slow, more than 3 hours to serve the meal. The portions were incredibly small - the chicken dish contained maybe 5 pieces of chicken, 2 pieces of broccoli, and a piece of unknown food. Small snacks were available during the flight, but the real let down was the snack before landing in Vancouver. It was a bizarre tasting chicken pastry wrap, which didn't have much chicken and did not taste at all like a pastry. It was too sweet, too mushy, and too salty. The seats, although not exactly spacious, were tolerable, although the aisles are very narrow, and cabin crew and other passengers frequently bumped into me while walking up and down the aisles. Cabin crew were generally responsive to passengers' request, and once or twice during the flight, came down the aisles with drinks. However, the poor level of catering made for a very frustrating trip. I certainly cannot recommend BA.",A350-1000,,,,,2,False,,
british_airways,J Fang ,2024,2024-06-23,"✅ Trip Verified | British Airways new Club Suite is a marked improvement from their older Club World seats. The new Club Suite offers a fair amount of privacy, especially with the screen door closed, and includes direct aisle access. When fully reclined, the seat converts into a fairly spacious bed, although I found the surface on the side a bit hard and uncomfortable to sleep on. The catering on board was fairly good and tasty - the appetizers and the main course were generally well cooked, although the cabin crew were very slow with the meal service. It took almost 3 hours after departure from Vancouver for the meal service to be completed. Prior to arrival, a light breakfast was served, which contained a croissant, a small egg and bacon sandwich, and a mango puree. BA's catering on this flight was generally good. Unfortunately, upon arrival at Heathrow, passengers had to wait over 90 minutes for checked baggage to arrive. No explanation was given, and not a single member of ground staff came to assist passengers or provide any information about when checked baggage would arrive. This was a very frustrating end to what was otherwise a fairly enjoyable trip in Club World, and left a very poor last impression of BA.",A350-1000,,,,,3,False,,
british_airways,Caleb Lowe,2024,2024-06-18,"✅ Trip Verified |  Four very pleasant, on time flights with friendly, helpful staff. The guy on the LHR/SFO leg was exceptional and I regret that I have forgotten his name. Only negative was the food on the SFO/LHR leg. The advertised filet steak was more akin to stewing steak and was inedible. Sadly this is not the only occasion I have food on US/UK flights to be sub standard. Otherwise happy to recommend BA.",A320/A380,,,,,5,False,,
british_airways,N Thomas,2024,2024-06-18,"Not Verified |   We travel extensively over 25 years and tend to use BA on our regular trips where possible and in recent years we have had overall good service from them however more recently we have experienced flight delays, operational issues, flight cancellations, poor check-in experiences etc. On our last two recent trips, one to Zurich and another to Iceland they had cancelled our return flight an hour or so prior to the scheduled departure time despite the flight showing as on time and no problems being reported. We have just returned from Iceland and our experience was one of the worst we have ever had with BA. Again our flight was just cancelled due to operational reasons but what made matters worse on this occasion was the flight was quite early at 7:45am. We went to bed at around 11pm (night before), checked the flight and it showed as being on time with again no issues being reported so we went to sleep fairly rest assured the the flight would be fine. We woke up at 5:30am and then discovered our flight had been cancelled without any warning! We were then left with virtually no other return flight options for that day. It soon got worse as the earliest flight option then being offered by BA was 3 days later! We opted to choose Tuesday with BA as we were left with no other option! If we hadn't acted quickly the Tuesday availability was sure to sell out leaving us with a return option of Wednesday onwards having experienced the same problem with BA in Zurich back in December. We were lucky on this occasion as BA offered several flights back on the same day in Zurich but this wasn't the case with Iceland! We were then left in a right predicament as hotel availability in Iceland was very limited to non existent given the very short notice of our cancelled flight. Our hotel was fully booked and our hire car had to be returned to the airport. From a logistical point of view this was a complete nightmare having to then rebook another hire car and to find alternative hotels. We then decided to search for any in-direct flights online to get us back to the UK sooner with another airline and after a good half hour of searching we came across an in-direct flight into Gatwick with Norwegian Air but it went via Oslo and a total journey time of 8 hours! This was not ideal as our car was in Heathrow! Assessing our options which were virtually none, we had no guarantees that the flight with BA on Tuesday would also have proceeded on time and checking with Norwegian Air both flights were on time and looked promising so we decided to get these booked at an additional expense of £600! If we had stayed in Iceland we would have also incurred additional cost to then fight back with BA or the insurance company. Our priority was to return home ASAP as we had important work and personal commitments on the Monday so we had to return ASAP. We eventually flew back fine with Norwegian Air and the service we received was far superior to that of BA. The boarding process was slick on both flights compared to a complete shambles with BA. Norwegian Air offered a full food trolley service with soft drinks, tea's and also a range of alcoholic drinks. Compare this to just the water and snack bar on BA!! Both flights were on time and we eventually landed in Gatwick shortly after our expected arrival time. We got back very late home after having to then book a hire car at Gatwick and in the morning we contacted BA to cancel our alternative Tuesday flight",Couple Leisure,,,,2,3,False,,
british_airways,N Carter,2024,2024-06-17,"✅ Trip Verified |  Flight delayed an hour due to bad weather around JFK however this was made up during the flight, only to be delayed again by weather over LHR. Spending an extra hour in the American/BA lounge at JFK was not ideal. Cold environment, cold staff, indifferent to the travellers needs. One area was exceptionally dirty with plates on the tables and napkins strewn on the floor. Waited for a drink as no one to serve. Played a game of find the chips/crisps - which were hidden on a table in a dark corner in one of the 3 areas. This is a crazy expensive route in Business Class and it feels like a rip off across all the airlines however the quality of BA's business class has much improved with the introduction of the suites. The privacy is a big improvement as too is the seat comfort and I managed a good 3hr sleep on the overnight red-eye flight. Food service was very efficient for those that wanted it and did the trick so late at night. Aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant. Unfortunately, I didn't catch his name but he was superb, being responsive to the few requests I made and remembered my name throughout the flight. A small but very valued touch that is often missing with business class flight attendants on BA. Very good experience all round except the price which is reflected in my value for money rating.",Boeing 777,,,,,5,False,,
british_airways,N Carter,2024,2024-06-17,✅ Trip Verified |  A very full flight made Premium Economy feel a little less premium than you should expect for the price however the smaller cabin configuration and slightly roomier seating made the journey relaxing enough. Catering was pretty good and the inflight service was efficient and friendly. Arrived on time and no delays with baggage delivery. No complaints as PE served it's function for the relatively short 7.5hr flight.,Boeing 777,,,,,4,False,,
british_airways,H Miller,2024,2024-06-16,"✅ Trip Verified | The worst airline I’ve ever flown. Could not check in until my flight was open (I was there 2 hours before flight not 2 days before!). Asked if my husband could fly on the same flight (he was also flying club Europe but on a later flight and I could see online that there was room on the plane I was on). The agent said they couldn’t change his flight at the ticket counter (never heard of that). This could only be done online or by calling British Airways. I had already tried online so asked for a telephone number to call and the British Airways agent did not have a number for me to call. So I looked up and called several numbers online and all I got was the office was closed on Saturdays. I asked for the ticket agent again. Explained we were going to his mother’s memorial and that and it would be nice if he could get on the same flight as I was on. They still refused to help. So, he stayed on his flight which was leaving 4 hours later and then got cancelled and he had to spend the night in Florence. They re routed him on a flight to London via Edinburgh. And then they lost his suitcase!! You can’t make this stuff up! As for my flight # BA 525, I got several emails and messages advising me it was delayed. I decided to go to the gate at the original flight time and guess what? It was boarding on time. I can’t imagine the number of people who might of missed it. It’s just an awful, awful airline and I will never fly them again if I can possibly avoid them!",Couple Leisure,,,,1,3,False,,
british_airways,Kevin Tunnicliffe,2024,2024-06-15,"✅ Trip Verified |  I am surprised to be able to give a favourable review of the flight. European Business Class is typically 3x3 seating with the middle seat on each group of three left empty. Leg room is never generous and BA is at the bottom of the generous barrel in this respect. However, on this occasion at least and as the flight is one hour that was not an issue. Cabin crew were great, very professional and efficient, cabin was clean and aircraft seemed pretty up to date. I was surprised to find that business class was served an 'afternoon tea' complete with champagne (much nicer than the poor Prosecco in the lounge). We had three small sandwiches, chocolate cake and a choice of plain or fruit scone. Strawberry jam and clotted cream on the side for those who wanted them. It all tasted great, I didn't try the chocolate cake, and there was just about enough time to eat it before landing. The crew worked very hard to complete service in time so well done them.",A320,,,,,1,False,,
british_airways,Jonathan Rodden,2024,2024-06-10,"✅ Trip Verified |  Flew British Airways on BA 434 London Heathrow to Amsterdam. I was able to check in at the BA First Class check in area in Terminal 5 and this is very fast and efficient. The lounge was quite busy; however, I was able to find space. The food, snacks, and drinks available was excellent as was the overall service. I also like the BA First Class Check in area as the security clearance is fast. Boarding was a little chaotic, however we boarded on time and the take off runway was close to the departing gate, therefore no delays. The flight itself was quite good as was the cabin crew and the meal service.",A320,,,,,5,False,,
british_airways,A Hammad,2024,2024-06-09,"✅ Trip Verified |  BA cancelled the flight from Tokyo to LHR. I was booked on next day flight. There was another flight on the same day. I went to the desk, but the flight was full. BA in charge offers another flight through Hong Kong which would have been 26h flight time. I declined that, and asked to stay on the next day flight. To my dismay he cancelled the next day flight without telling me he did that. I think he was annoyed that I didn’t accept the offer after he spent sometime looking for. In fact I am the one who should be annoyed for cancelling my flight. I ended up flying another airline with downgrading. Poor service, and appalling behaviour. You expect better from BA.",Couple Leisure,,,,1,1,False,,
british_airways,D Baker,2024,2024-06-06,"✅ Trip Verified | I strongly advise everyone to never fly British Airways. I know we will never do so again. We had business class seats booked for an early morning flight from Heathrow to SF - and then the flight was cancelled the evening before the flight. We luckily checked email before we went to bed and found out it was canceled. We then called BA, and after waiting 30 minutes someone to answer the call, the person who finally did said he was going to move us to a United Air flight leaving an hour later from Heathrow to SF the next day. He told us the flight number and said he had booked us business class seats. It took a long time to get it all worked out, so we got just a few hours sleep that night, but it looked like it was resolved. Then, however, when we got to Heathrow early the next morning we found that the BA person did not complete the booking as needed and United could not give us seats. They said we needed to call BA to get them to complete the change. But despite numerous attempt we could not get anyone to answer the phone at BA. This went on for 2 hours. Finally, by the grace of god, after hours of stress trying to figure out what to do, we found a United ticket agent at the airport who personally called BA for us and got then to fix the problem. So, after being at Heathrow at 7 am, we ended up leaving for SF late that afternoon totally exhausted. The United air ticket agent saved us and allows us to get home. She also said these problems were common with BA.",Boeing 747,,,,,1,False,,
british_airways,Val Rose,2024,2024-06-03,"✅ Trip Verified | My partner and I were on the BA2166 return flight from Tampa to Gatwick and I was very excited as had paid for a upgrade to Business Class, my partner flies BC with BA a lot for work but this was only my second time, we decided as it was the end of our holiday that have this will help us get some quality sleep. Unfortunately that was not to be. Also in Business Class were two families with children under 5. It was a very long flight listening to a toddler not just crying but screaming for seven out of the eight hours. Now its not the childrens fault, I do however think that the cabin crew could have maybe internvene and helped a little more but also BA should have informed us as we paid alot of money and quite frankly could have saved that money and just had economy ticket as at least we would be a few grand better off. What with that and how the checking in ground staff were treating us as if we were an inconvenience we will rethink BA moving forward.",Couple Leisure,,,,4,3,False,,
